County,Registered Voters,# In Person On 10/30/2020,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting
HARRIS,2480522,86773,1265359,0.5101,171167,1436526,0.5791
DALLAS,1398469,52702,728579,0.521,70858,799437,0.5717
TARRANT,1212524,50383,666582,0.5497,62913,729495,0.6016
BEXAR,1189373,0,554605,0.4663,85863,640468,0.5385
TRAVIS,854577,30076,486546,0.5693,62374,548920,0.6423
COLLIN,648670,24038,419812,0.6472,28981,448793,0.6919
DENTON,565089,21826,353127,0.6249,27721,380848,0.674
EL PASO,488470,16655,194917,0.399,26806,221723,0.4539
FORT BEND,482368,19193,299683,0.6213,28182,327865,0.6797
HIDALGO,391309,14345,171806,0.4391,16618,188424,0.4815
WILLIAMSON,376672,14507,234403,0.6223,24936,259339,0.6885
MONTGOMERY,370060,14070,213873,0.5779,23018,236891,0.6401
GALVESTON,228482,7706,124124,0.5433,13027,137151,0.6003
BRAZORIA,224256,7789,129025,0.5753,10506,139531,0.6222
CAMERON,218910,7305,86906,0.397,9434,96340,0.4401
BELL,215974,7007,86596,0.401,11233,97829,0.453
NUECES,211652,7168,95697,0.4521,15218,110915,0.524
LUBBOCK,183320,7451,96198,0.5248,8631,104829,0.5718
HAYS,152840,5747,85097,0.5568,12046,97143,0.6356
MCLENNAN,149461,5180,69881,0.4676,10336,80217,0.5367
JEFFERSON,149372,5241,75950,0.5085,8156,84106,0.5631
SMITH,146149,3689,77390,0.5295,7835,85225,0.5831
WEBB,137840,4943,47260,0.3429,3586,50846,0.3689
BRAZOS,122137,5133,64140,0.5251,6294,70434,0.5767
ELLIS,120188,5143,69063,0.5746,4970,74033,0.616
COMAL,115876,3734,70345,0.6071,7893,78238,0.6752
GUADALUPE,111142,3621,60817,0.5472,6511,67328,0.6058
JOHNSON,105574,4327,56159,0.5319,4425,60584,0.5739
PARKER,103999,4450,60646,0.5831,4163,64809,0.6232
RANDALL,93313,4394,50413,0.5403,5316,55729,0.5972
MIDLAND,90392,4005,46139,0.5104,2762,48901,0.541
GRAYSON,86740,3055,45678,0.5266,4559,50237,0.5792
TAYLOR,83696,3124,39746,0.4749,5263,45009,0.5378
WICHITA,83575,2577,32151,0.3847,2473,34624,0.4143
KAUFMAN,81901,3384,44750,0.5464,3128,47878,0.5846
ECTOR,80872,3164,32969,0.4077,2449,35418,0.438
