County,REP,DEM,LIB,Votes,Voters,TurnOut
ANDERSON,11335,3307,94,14736,28487,0.5173
ANDREWS,3338,776,17,4131,9574,0.4315
ANGELINA,19166,7130,153,26449,51751,0.5111
ARANSAS,6677,2247,56,8980,17308,0.5188
ARCHER,3208,376,18,3602,6317,0.5702
ARMSTRONG,819,74,6,899,1428,0.6296
ATASCOSA,7753,4332,119,12204,27338,0.4464
AUSTIN,8722,2241,84,11047,19406,0.5693
BAILEY,1204,405,7,1616,3727,0.4336
BANDERA,7643,1865,76,9584,15869,0.6039
BASTROP,15067,12082,312,27461,47438,0.5789
BAYLOR,1070,156,9,1235,2365,0.5222
BEE,4342,2811,64,7217,15883,0.4544
BELL,47437,38417,723,86577,195760,0.4423
BEXAR,217600,326946,5024,549570,1098257,0.5004
BLANCO,4181,1570,57,5808,8504,0.683
BORDEN,320,22,1,343,488,0.7029
BOSQUE,5718,1374,63,7155,12209,0.586
BOWIE,20157,7982,182,28321,59618,0.475
BRAZORIA,65693,45228,832,111753,207446,0.5387
BRAZOS,35971,27876,640,64487,114377,0.5638
BREWSTER,1879,2147,60,4086,7292,0.5603
BRISCOE,553,69,2,624,1084,0.5756
BROOKS,543,1376,4,1923,5843,0.3291
BROWN,10391,1670,71,12132,23368,0.5192
BURLESON,5079,1427,45,6551,11782,0.556
BURNET,13859,4444,187,18490,31072,0.5951
CALDWELL,6147,5227,107,11481,23777,0.4829
CALHOUN,4198,1874,47,6119,12835,0.4767
CALLAHAN,4373,610,40,5023,9337,0.538
CAMERON,28574,48770,568,77912,206966,0.3764
CAMP,2749,1119,24,3892,7648,0.5089
CARSON,2192,245,22,2459,4263,0.5768
CASS,8148,2024,45,10217,20119,0.5078
CASTRO,1219,394,10,1623,3842,0.4224
CHAMBERS,12146,2926,109,15181,28063,0.541
CHEROKEE,11631,3207,103,14941,27949,0.5346
CHILDRESS,1526,236,8,1770,3559,0.4973
CLAY,3710,547,31,4288,7655,0.5602
COCHRAN,541,140,5,686,1729,0.3968
COKE,1150,137,10,1297,2285,0.5676
COLEMAN,2759,351,16,3126,5912,0.5288
COLLIN,187425,165614,2927,355966,579893,0.6138
COLLINGSWORTH,810,113,5,928,1906,0.4869
COLORADO,5779,1825,33,7637,13938,0.5479
COMAL,44079,16830,586,61495,100867,0.6097
COMANCHE,3799,781,30,4610,9197,0.5013
CONCHO,803,163,14,980,1677,0.5844
COOKE,11879,2550,111,14540,25747,0.5647
CORYELL,10626,5067,170,15863,38635,0.4106
COTTLE,458,97,2,557,1063,0.524
CRANE,836,213,6,1055,2666,0.3957
CROCKETT,928,340,8,1276,2497,0.511
CROSBY,978,437,7,1422,3540,0.4017
CULBERSON,297,521,9,827,1722,0.4803
DALLAM,970,139,6,1115,3039,0.3669
DALLAS,241126,481395,5368,727889,1335313,0.5451
DAWSON,2192,811,12,3015,7202,0.4186
DEAF SMITH,2680,1067,28,3775,8855,0.4263
DELTA,1562,354,16,1932,3896,0.4959
DENTON,158744,134649,2409,295802,497490,0.5946
DEWITT,4974,1128,29,6131,11744,0.5221
DICKENS,635,113,6,754,1288,0.5854
DIMMIT,840,2042,12,2894,7378,0.3922
DONLEY,1110,161,8,1279,2237,0.5717
DUVAL,1330,2765,18,4113,8377,0.491
EASTLAND,5377,800,28,6205,11775,0.527
ECTOR,20996,9230,248,30474,76536,0.3982
EDWARDS,604,145,8,757,1449,0.5224
ELLIS,41022,19106,461,60589,108349,0.5592
EL PASO,50943,151482,1189,203614,455992,0.4465
ERATH,10055,2486,84,12625,22492,0.5613
FALLS,3215,1445,20,4680,10399,0.45
